sensor_id;sensor_type;location;lat;lon;timestamp;P1;durP1;ratioP1;P2;durP2;ratioP2
30030;SDS011;16867;48.780;9.174;2020-10-13T00:00:21;6.47;;;5.87;;
30030;SDS011;16867;48.780;9.174;2020-10-13T00:02:48;6.70;;;6.03;;
30030;SDS011;16867;48.780;9.174;2020-10-13T00:05:15;8.53;;;6.00;;
30030;SDS011;16867;48.780;9.174;2020-10-13T00:07:41;12.73;;;7.47;;
30030;SDS011;16867;48.780;9.174;2020-10-13T00:10:07;14.93;;;7.37;;
30030;SDS011;16867;48.780;9.174;2020-10-13T00:12:32;6.47;;;5.87;;
30030;SDS011;16867;48.780;9.174;2020-10-13T00:14:58;6.57;;;5.90;;
30030;SDS011;16867;48.780;9.174;2020-10-13T00:17:23;10.47;;;7.47;;
30030;SDS011;16867;48.780;9.174;2020-10-13T00:19:49;7.90;;;7.10;;
30030;SDS011;16867;48.780;9.174;2020-10-13T00:22:14;7.40;;;6.60;;
30030;SDS011;16867;48.780;9.174;2020-10-13T00:24:40;8.17;;;6.27;;
30030;SDS011;16867;48.780;9.174;2020-10-13T00:27:06;9.40;;;6.23;;
30030;SDS011;16867;48.780;9.174;2020-10-13T00:29:31;13.13;;;6.97;;
30030;SDS011;16867;48.780;9.174;2020-10-13T00:31:57;8.27;;;6.17;;
30030;SDS011;16867;48.780;9.174;2020-10-13T00:34:22;10.97;;;7.80;;
30030;SDS011;16867;48.780;9.174;2020-10-13T00:36:48;11.27;;;7.20;;
30030;SDS011;16867;48.780;9.174;2020-10-13T00:39:15;10.90;;;6.33;;
30030;SDS011;16867;48.780;9.174;2020-10-13T00:41:41;7.77;;;6.97;;
30030;SDS011;16867;48.780;9.174;2020-10-13T00:44:07;10.33;;;6.40;;
30030;SDS011;16867;48.780;9.174;2020-10-13T00:46:33;9.33;;;6.30;;
30030;SDS011;16867;48.780;9.174;2020-10-13T00:48:59;14.10;;;7.73;;
30030;SDS011;16867;48.780;9.174;2020-10-13T00:51:24;8.53;;;7.50;;
30030;SDS011;16867;48.780;9.174;2020-10-13T00:53:50;11.10;;;7.50;;
30030;SDS011;16867;48.780;9.174;2020-10-13T00:56:15;7.60;;;6.80;;
30030;SDS011;16867;48.780;9.174;2020-10-13T00:58:42;8.00;;;6.83;;
30030;SDS011;16867;48.780;9.174;2020-10-13T01:01:07;8.53;;;6.77;;
30030;SDS011;16867;48.780;9.174;2020-10-13T01:03:33;8.90;;;7.10;;
30030;SDS011;16867;48.780;9.174;2020-10-13T01:05:59;9.30;;;7.93;;
30030;SDS011;16867;48.780;9.174;2020-10-13T01:08:26;9.90;;;6.73;;
30030;SDS011;16867;48.780;9.174;2020-10-13T01:10:52;10.33;;;7.37;;
30030;SDS011;16867;48.780;9.174;2020-10-13T01:13:17;8.83;;;6.60;;
30030;SDS011;16867;48.780;9.174;2020-10-13T01:15:43;11.40;;;6.73;;
30030;SDS011;16867;48.780;9.174;2020-10-13T01:18:08;8.80;;;6.57;;
30030;SDS011;16867;48.780;9.174;2020-10-13T01:20:34;10.10;;;7.50;;
30030;SDS011;16867;48.780;9.174;2020-10-13T01:22:59;8.00;;;7.17;;
30030;SDS011;16867;48.780;9.174;2020-10-13T01:25:25;14.20;;;7.33;;
30030;SDS011;16867;48.780;9.174;2020-10-13T01:27:51;9.13;;;7.40;;
30030;SDS011;16867;48.780;9.174;2020-10-13T01:30:16;8.10;;;7.30;;
30030;SDS011;16867;48.780;9.174;2020-10-13T01:32:42;8.10;;;6.90;;
30030;SDS011;16867;48.780;9.174;2020-10-13T01:35:08;11.00;;;7.33;;
30030;SDS011;16867;48.780;9.174;2020-10-13T01:37:35;10.77;;;6.63;;
30030;SDS011;16867;48.780;9.174;2020-10-13T01:40:01;8.83;;;7.27;;
30030;SDS011;16867;48.780;9.174;2020-10-13T01:42:28;9.77;;;7.87;;
30030;SDS011;16867;48.780;9.174;2020-10-13T01:44:54;10.80;;;6.27;;
30030;SDS011;16867;48.780;9.174;2020-10-13T01:47:19;6.93;;;6.27;;
