sensor_id;sensor_type;location;lat;lon;timestamp;P1;durP1;ratioP1;P2;durP2;ratioP2
2912;SDS011;1466;48.778;9.166;2020-10-03T03:21:10;13.67;;;8.87;;
2912;SDS011;1466;48.778;9.166;2020-10-03T03:23:58;13.40;;;8.93;;
2912;SDS011;1466;48.778;9.166;2020-10-03T03:29:58;11.37;;;9.03;;
2912;SDS011;1466;48.778;9.166;2020-10-03T03:41:27;10.40;;;8.87;;
2912;SDS011;1466;48.778;9.166;2020-10-03T03:44:28;12.70;;;8.83;;
2912;SDS011;1466;48.778;9.166;2020-10-03T03:50:21;10.05;;;7.80;;
2912;SDS011;1466;48.778;9.166;2020-10-03T04:10:23;9.55;;;8.23;;
2912;SDS011;1466;48.778;9.166;2020-10-03T04:13:32;10.30;;;7.07;;
2912;SDS011;1466;48.778;9.166;2020-10-03T04:16:41;11.00;;;8.18;;
2912;SDS011;1466;48.778;9.166;2020-10-03T04:25:14;12.63;;;8.70;;
2912;SDS011;1466;48.778;9.166;2020-10-03T04:31:07;12.55;;;8.30;;
2912;SDS011;1466;48.778;9.166;2020-10-03T04:49:12;14.93;;;9.60;;
2912;SDS011;1466;48.778;9.166;2020-10-03T05:06:28;11.15;;;7.55;;
2912;SDS011;1466;48.778;9.166;2020-10-03T05:29:57;5.07;;;4.30;;
2912;SDS011;1466;48.778;9.166;2020-10-03T05:35:54;7.30;;;5.27;;
2912;SDS011;1466;48.778;9.166;2020-10-03T05:47:32;5.55;;;4.18;;
2912;SDS011;1466;48.778;9.166;2020-10-03T05:50:49;4.50;;;3.60;;
2912;SDS011;1466;48.778;9.166;2020-10-03T06:08:36;4.85;;;1.77;;
2912;SDS011;1466;48.778;9.166;2020-10-03T06:33:32;1.92;;;1.37;;
2912;SDS011;1466;48.778;9.166;2020-10-03T06:40:05;1.83;;;1.60;;
2912;SDS011;1466;48.778;9.166;2020-10-03T06:54:33;2.00;;;1.65;;
2912;SDS011;1466;48.778;9.166;2020-10-03T07:00:13;2.17;;;1.50;;
2912;SDS011;1466;48.778;9.166;2020-10-03T07:06:19;2.85;;;1.35;;
2912;SDS011;1466;48.778;9.166;2020-10-03T07:09:01;3.60;;;1.83;;
2912;SDS011;1466;48.778;9.166;2020-10-03T07:11:34;2.77;;;1.80;;
2912;SDS011;1466;48.778;9.166;2020-10-03T07:14:02;2.22;;;1.60;;
2912;SDS011;1466;48.778;9.166;2020-10-03T07:19:36;2.53;;;1.70;;
2912;SDS011;1466;48.778;9.166;2020-10-03T07:22:04;1.92;;;1.50;;
2912;SDS011;1466;48.778;9.166;2020-10-03T07:24:29;11.23;;;2.53;;
2912;SDS011;1466;48.778;9.166;2020-10-03T07:26:55;3.20;;;1.67;;
2912;SDS011;1466;48.778;9.166;2020-10-03T07:29:24;1.83;;;1.40;;
2912;SDS011;1466;48.778;9.166;2020-10-03T07:31:51;1.87;;;1.63;;
2912;SDS011;1466;48.778;9.166;2020-10-03T07:34:22;4.67;;;1.90;;
2912;SDS011;1466;48.778;9.166;2020-10-03T07:36:50;2.10;;;1.90;;
2912;SDS011;1466;48.778;9.166;2020-10-03T07:39:16;2.10;;;1.67;;
2912;SDS011;1466;48.778;9.166;2020-10-03T07:41:48;1.90;;;1.50;;
2912;SDS011;1466;48.778;9.166;2020-10-03T07:50:01;2.65;;;1.50;;
2912;SDS011;1466;48.778;9.166;2020-10-03T07:52:52;2.40;;;1.60;;
2912;SDS011;1466;48.778;9.166;2020-10-03T07:55:23;1.73;;;1.43;;
2912;SDS011;1466;48.778;9.166;2020-10-03T07:57:54;2.58;;;1.50;;
2912;SDS011;1466;48.778;9.166;2020-10-03T08:00:31;3.30;;;1.55;;
2912;SDS011;1466;48.778;9.166;2020-10-03T08:03:05;1.58;;;1.30;;
2912;SDS011;1466;48.778;9.166;2020-10-03T08:05:31;2.12;;;1.65;;
2912;SDS011;1466;48.778;9.166;2020-10-03T08:10:32;1.90;;;1.65;;
2912;SDS011;1466;48.778;9.166;2020-10-03T08:12:59;2.00;;;1.60;;
2912;SDS011;1466;48.778;9.166;2020-10-03T08:15:26;4.62;;;1.50;;
2912;SDS011;1466;48.778;9.166;2020-10-03T08:18:00;1.40;;;1.30;;
2912;SDS011;1466;48.778;9.166;2020-10-03T08:20:32;1.92;;;1.70;;
2912;SDS011;1466;48.778;9.166;2020-10-03T08:23:11;3.30;;;2.05;;
2912;SDS011;1466;48.778;9.166;2020-10-03T08:25:47;2.85;;;1.80;;
2912;SDS011;1466;48.778;9.166;2020-10-03T08:28:13;2.12;;;1.60;;
2912;SDS011;1466;48.778;9.166;2020-10-03T08:30:40;2.55;;;1.50;;
2912;SDS011;1466;48.778;9.166;2020-10-03T08:33:06;2.15;;;1.30;;
2912;SDS011;1466;48.778;9.166;2020-10-03T08:35:34;6.35;;;2.20;;
2912;SDS011;1466;48.778;9.166;2020-10-03T08:38:01;1.97;;;1.50;;
2912;SDS011;1466;48.778;9.166;2020-10-03T08:40:27;2.10;;;1.42;;
2912;SDS011;1466;48.778;9.166;2020-10-03T08:43:27;1.60;;;1.20;;
2912;SDS011;1466;48.778;9.166;2020-10-03T08:45:58;2.03;;;1.67;;
2912;SDS011;1466;48.778;9.166;2020-10-03T08:48:46;1.70;;;1.47;;
2912;SDS011;1466;48.778;9.166;2020-10-03T08:51:11;7.67;;;1.63;;
2912;SDS011;1466;48.778;9.166;2020-10-03T08:53:37;1.40;;;1.30;;
2912;SDS011;1466;48.778;9.166;2020-10-03T08:56:15;1.92;;;1.30;;
2912;SDS011;1466;48.778;9.166;2020-10-03T08:58:45;2.33;;;1.92;;
2912;SDS011;1466;48.778;9.166;2020-10-03T09:01:18;1.87;;;1.45;;
2912;SDS011;1466;48.778;9.166;2020-10-03T09:03:46;2.08;;;1.80;;
2912;SDS011;1466;48.778;9.166;2020-10-03T09:08:57;3.80;;;1.55;;
2912;SDS011;1466;48.778;9.166;2020-10-03T09:16:37;2.20;;;1.60;;
2912;SDS011;1466;48.778;9.166;2020-10-03T09:19:04;1.50;;;1.40;;
2912;SDS011;1466;48.778;9.166;2020-10-03T09:21:31;2.47;;;2.07;;
2912;SDS011;1466;48.778;9.166;2020-10-03T09:23:57;2.47;;;1.77;;
2912;SDS011;1466;48.778;9.166;2020-10-03T09:26:39;1.87;;;1.40;;
2912;SDS011;1466;48.778;9.166;2020-10-03T09:29:06;2.17;;;1.30;;
2912;SDS011;1466;48.778;9.166;2020-10-03T09:31:33;1.25;;;1.15;;
2912;SDS011;1466;48.778;9.166;2020-10-03T09:34:03;1.67;;;1.20;;
2912;SDS011;1466;48.778;9.166;2020-10-03T09:36:39;2.65;;;1.50;;
2912;SDS011;1466;48.778;9.166;2020-10-03T09:39:06;1.85;;;1.40;;
2912;SDS011;1466;48.778;9.166;2020-10-03T09:41:32;1.20;;;1.00;;
2912;SDS011;1466;48.778;9.166;2020-10-03T09:43:58;1.40;;;1.20;;
2912;SDS011;1466;48.778;9.166;2020-10-03T09:46:24;1.20;;;1.10;;
