sensor_id;sensor_type;location;lat;lon;timestamp;P1;durP1;ratioP1;P2;durP2;ratioP2
13083;SDS011;6608;48.790;9.198;2020-10-15T00:01:48;155.27;;;58.03;;
13083;SDS011;6608;48.790;9.198;2020-10-15T00:04:15;157.83;;;58.40;;
13083;SDS011;6608;48.790;9.198;2020-10-15T00:06:44;156.37;;;58.27;;
13083;SDS011;6608;48.790;9.198;2020-10-15T00:09:11;157.87;;;58.97;;
13083;SDS011;6608;48.790;9.198;2020-10-15T00:11:55;156.33;;;58.80;;
13083;SDS011;6608;48.790;9.198;2020-10-15T00:14:25;159.03;;;58.83;;
13083;SDS011;6608;48.790;9.198;2020-10-15T00:17:01;157.47;;;59.10;;
13083;SDS011;6608;48.790;9.198;2020-10-15T00:19:31;158.53;;;59.03;;
13083;SDS011;6608;48.790;9.198;2020-10-15T00:21:58;157.27;;;59.23;;
13083;SDS011;6608;48.790;9.198;2020-10-15T00:24:24;158.13;;;59.80;;
13083;SDS011;6608;48.790;9.198;2020-10-15T00:26:49;157.57;;;58.53;;
13083;SDS011;6608;48.790;9.198;2020-10-15T00:29:16;157.17;;;58.73;;
13083;SDS011;6608;48.790;9.198;2020-10-15T00:31:42;156.70;;;58.77;;
13083;SDS011;6608;48.790;9.198;2020-10-15T00:34:09;160.17;;;59.40;;
13083;SDS011;6608;48.790;9.198;2020-10-15T00:36:34;161.90;;;59.70;;
13083;SDS011;6608;48.790;9.198;2020-10-15T00:39:03;157.93;;;59.27;;
13083;SDS011;6608;48.790;9.198;2020-10-15T00:41:37;159.03;;;59.93;;
13083;SDS011;6608;48.790;9.198;2020-10-15T00:44:07;157.07;;;59.07;;
13083;SDS011;6608;48.790;9.198;2020-10-15T00:46:35;156.77;;;58.73;;
13083;SDS011;6608;48.790;9.198;2020-10-15T00:49:03;157.70;;;59.33;;
13083;SDS011;6608;48.790;9.198;2020-10-15T00:51:32;159.10;;;58.37;;
13083;SDS011;6608;48.790;9.198;2020-10-15T00:53:58;158.07;;;58.70;;
13083;SDS011;6608;48.790;9.198;2020-10-15T00:56:24;159.97;;;60.10;;
13083;SDS011;6608;48.790;9.198;2020-10-15T00:58:51;155.90;;;58.57;;
13083;SDS011;6608;48.790;9.198;2020-10-15T01:01:22;157.33;;;58.90;;
13083;SDS011;6608;48.790;9.198;2020-10-15T01:06:34;155.97;;;58.33;;
13083;SDS011;6608;48.790;9.198;2020-10-15T01:09:04;157.90;;;58.70;;
13083;SDS011;6608;48.790;9.198;2020-10-15T01:11:54;154.97;;;58.47;;
13083;SDS011;6608;48.790;9.198;2020-10-15T01:14:20;158.30;;;58.73;;
13083;SDS011;6608;48.790;9.198;2020-10-15T01:16:46;156.33;;;58.27;;
